Name,Cuisine,Location,Special Dish,Rating,Latitude,Longitude
Bhojan Griha,Nepali Traditional,Kathmandu,Royal Thali – 12-course Newari feast,⭐ 4.7,27.7041,85.3131
Krishnarpan (Dwarika's),Newari Fine Dining,Kathmandu,22-course traditional Nepali tasting menu,⭐ 4.9,27.7089,85.3426
Thamel House Restaurant,Newari/Nepali,Kathmandu,Yomari (steamed rice dumpling with molasses),⭐ 4.5,27.7154,85.3123
Mustang Thakali Kitchen,Thakali,Kathmandu,Dhido with mutton curry and ghee,⭐ 4.5,27.7147,85.3135
Utse Restaurant,Tibetan/Sherpa,Kathmandu,Thukpa noodle soup & steamed Momos,⭐ 4.3,27.716,85.3118
OR2K,Israeli/Vegetarian,Kathmandu,Hummus Platter & Shakshuka,⭐ 4.3,27.7162,85.311
Fire & Ice Pizzeria,Italian,Kathmandu,Wood-fired Quattro Formaggi Pizza,⭐ 4.4,27.7143,85.3125
Roadhouse Cafe,Continental/Nepali,Kathmandu,Dal Bhat Power Set,⭐ 4.2,27.715,85.312
Bakery Cafe,Bakery/Café,Kathmandu,Apple Pie & Nepali Milk Tea,⭐ 4.2,27.7055,85.3199
Newa Lahana,Newari,Lalitpur,Samay Baji – ritual Newari snack platter,⭐ 4.6,27.671,85.324
Bhaktapur Sweets Corner,Newari Sweets,Bhaktapur,Juju Dhau (King Curd of Bhaktapur),⭐ 4.8,27.671,85.4298
Thakali Kitchen,Thakali,Pokhara,"Thakali Thali with ghee, daal & pickles",⭐ 4.6,28.2096,83.9856
Moondance Restaurant,International/Nepali,Pokhara,Sizzling Pork Chops with Aloo Tarkari,⭐ 4.3,28.2103,83.956
Danfe Restaurant,Nepali,Pokhara,Pan-fried Fewa Lake fresh trout,⭐ 4.3,28.205,83.9542
Little Tibetan Tea Garden,Tibetan,Pokhara,Butter Tea & Tsampa porridge,⭐ 4.1,28.2115,83.9548
Caffe Concerto,Italian/Bakery,Pokhara,Tiramisu & freshly baked croissants,⭐ 4.4,28.2088,83.9555
Jungle Base Camp,Nepali/BBQ,Chitwan,Chicken Tikka Jungle Platter,⭐ 4.0,27.5291,84.4784
Jungle Hut Sauraha,Tharu/Nepali,Chitwan,Tharu Fish Fry with mustard sauce,⭐ 4.0,27.5305,84.4801
Lumbini Buddha Restaurant,Nepali/Indian,Rupandehi,Sattvic Thali – full vegetarian pilgrimage meal,⭐ 4.0,27.4833,83.2757
Namche Bakery,Bakery/Trekker,Solukhumbu,"Cinnamon roll & hot cocoa at 3,440m",⭐ 4.4,27.805,86.7142
