Name,Province,District,Category,Latitude,Longitude,History,Entry Fee,Best Season,Opening Hours,Image URL
Pashupatinath Temple,Bagmati,Kathmandu,Religious/Heritage,27.7105,85.3487,Founded 5th century AD; current pagoda rebuilt 17th century; UNESCO WHS 1979.,"NPR 1,000 (foreigners)",Oct–Apr,4:00 AM – 9:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Pashupatinath_Temple_2.jpg/320px-Pashupatinath_Temple_2.jpg
Boudhanath Stupa,Bagmati,Kathmandu,Buddhist/Heritage,27.7215,85.362,Built 14th century; major Tibetan Buddhist centre; UNESCO WHS 1979.,NPR 400 (foreigners),Oct–Apr,5:00 AM – 9:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Boudhanath-stupa.jpg/320px-Boudhanath-stupa.jpg
Swayambhunath (Monkey Temple),Bagmati,Kathmandu,Buddhist/Heritage,27.7149,85.2903,"Over 2,000 years old; self-manifested stupa; UNESCO WHS 1979.",NPR 200 (foreigners),Oct–Apr,5:00 AM – 8:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/SwayambhunathMandala.jpg/320px-SwayambhunathMandala.jpg
Kathmandu Durbar Square,Bagmati,Kathmandu,Heritage/Culture,27.7041,85.3075,Malla & Shah dynasty palaces; built 12th–18th century; UNESCO WHS.,"NPR 1,000 (foreigners)",Oct–Apr,All day,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Kathmandu_Durbar_Square.jpg/320px-Kathmandu_Durbar_Square.jpg
Patan Durbar Square,Bagmati,Lalitpur,Heritage/Culture,27.671,85.3247,Capital of Lalitpur under Malla kings; UNESCO WHS; home of Krishna Mandir.,"NPR 1,000 (foreigners)",Oct–Apr,All day,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Patan_Durbar_Square.jpg/320px-Patan_Durbar_Square.jpg
Bhaktapur Durbar Square,Bagmati,Bhaktapur,Heritage/Culture,27.672,85.4276,Founded 9th century; best-preserved medieval square; UNESCO WHS.,"NPR 1,500 (foreigners)",Oct–May,All day,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bhaktapur_Durbar_Square_01.jpg/320px-Bhaktapur_Durbar_Square_01.jpg
Pokhara Lakeside,Gandaki,Kaski,Nature/Recreation,28.2096,83.9856,Developed as tourist hub after 1970s; gateway to Annapurna treks.,Free,Oct–May,All day,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Pokhara_lake.jpg/320px-Pokhara_lake.jpg
Phewa Lake,Gandaki,Kaski,Nature/Lake,28.2029,83.9547,Sacred to goddess Tal Barahi; Nepal's 2nd largest lake; famous for Machhapuchhre reflection.,NPR 200 (boat),Oct–May,6:00 AM – 6:00 PM,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Phewa_Lake_Pokhara.jpg/320px-Phewa_Lake_Pokhara.jpg
Annapurna Base Camp,Gandaki,Kaski,Trekking/Adventure,28.5305,83.8772,"Opened to trekkers 1977; 360° Himalayan views at 4,130m.","ACAP Permit NPR 3,000","Mar–May, Sep–Nov",Trek: 7–14 days,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Annapurna_Base_Camp.jpg/320px-Annapurna_Base_Camp.jpg
Everest Base Camp,Koshi,Solukhumbu,Trekking/Adventure,28.0026,86.8528,"Everest first summited May 29, 1953 by Tenzing & Hillary; opened to trekkers 1960s.","Sagarmatha NP NPR 3,000","Mar–May, Sep–Nov",Trek: 12–16 days,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/EverestBasecamp_fromKalaPattar.jpg/320px-EverestBasecamp_fromKalaPattar.jpg
