Name,Origin,Description,Image URL
Dal Bhat,Nationwide,"Nepal's national dish: steamed rice, lentil soup, vegetable curry & pickles. Eaten twice daily by most Nepalis.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Dal_Bhat.jpg/320px-Dal_Bhat.jpg
Momo,Newari/Tibetan,"Steamed or fried dumplings filled with buff, chicken or veg; served with spicy achar sauce.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Nepali_momo.jpg/320px-Nepali_momo.jpg
Thukpa,Tibetan-Nepali,Hearty noodle soup with vegetables or meat in a clear or spicy broth; popular at high altitude.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Thukpa.jpg/320px-Thukpa.jpg
Samay Baji,Newari,"Ritual platter of beaten rice, black soybean, spiced potato, ginger, egg, buff & local wine.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Samay_baji.jpg/320px-Samay_baji.jpg
Yomari,Newari (Bhaktapur),Rice flour dumplings filled with molasses & sesame; made during Yomari Punhi festival.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Yomari.jpg/320px-Yomari.jpg
Juju Dhau,Bhaktapur,"Famous 'King Curd' set in clay pots; creamy, slightly sweet; a Bhaktapur pride.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Juju_Dhau.jpg/320px-Juju_Dhau.jpg
Sel Roti,Nationwide,Crispy ring-shaped sweet rice bread fried in oil; made during Tihar & Dashain festivals.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Sel_roti.jpg/320px-Sel_roti.jpg
Thakali Thali,Thak Khola / Mustang,"Multi-dish meal with rice, lentil, ghee, meat curry & pickle; famous for generous use of ghee.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Thakali_thali.jpg/320px-Thakali_thali.jpg
Dhido,Nationwide (hills),Thick porridge from buckwheat or millet flour; traditional alternative to rice in hilly regions.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Dhido.jpg/320px-Dhido.jpg
Gundruk,Nationwide,Fermented dried leafy greens; used in soup or as a side dish; Nepal's iconic preserved vegetable.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Gundruk.jpg/320px-Gundruk.jpg
Chhurpi,Sherpa/Himalayan,Hard dried yak cheese; comes soft or rock-hard; chewed for hours as a snack at high altitude.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Chhurpi.jpg/320px-Chhurpi.jpg
Butter Tea (Po Cha),Tibetan-Sherpa,Tea churned with yak butter and salt; warming and high-calorie drink for cold mountain climates.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Butter_tea.jpg/320px-Butter_tea.jpg
Tongba,Limbu (Eastern Hills),Traditional millet-based warm alcoholic drink served in a bamboo vessel; sipped through a straw.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Tongba.jpg/320px-Tongba.jpg
Kwati,Newari,Protein-rich soup of 9 types of sprouted beans; prepared during Gunla festival.,https://upload.wikimedia.org/wikipedia/commons/thumb/k/kw/Kwati.jpg/320px-Kwati.jpg
Chatamari,Newari,"'Newari pizza' — thin crispy rice flour crepe topped with egg, minced meat or vegetables.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Chatamari.jpg/320px-Chatamari.jpg
Aloo Tama,Newari,Sour & spicy bamboo shoot curry cooked with black-eyed peas and potatoes.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Aloo_tama.jpg/320px-Aloo_tama.jpg
Bara,Newari,Savoury lentil pancake; plain or topped with egg or minced meat.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Bara_newari.jpg/320px-Bara_newari.jpg
Choila,Newari,Spiced charcoal-grilled buffalo meat marinated in mustard oil; essential in Samay Baji platter.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Choila.jpg/320px-Choila.jpg
Mustang Apple Products,Mustang,"Fresh apples, cider, brandy and jam from high-altitude orchards of Mustang valley.",https://upload.wikimedia.org/wikipedia/commons/thumb/m/mu/Mustang_apples.jpg/320px-Mustang_apples.jpg
Ilam Tea,Ilam,Premium orthodox first-flush tea; Darjeeling-style green and black varieties from Nepal's misty hills.,https://upload.wikimedia.org/wikipedia/commons/thumb/i/il/Ilam_tea.jpg/320px-Ilam_tea.jpg
