Category,Service / Name,Contact Number,Notes
Police,Nepal Police (Emergency),100,National emergency police helpline
Tourist Police,Tourist Police Helpline,1144,24/7 dedicated helpline for tourists
Tourist Police,NTB Tourist Helpline,1179,Free tourist information & grievances
Ambulance,Government Ambulance,102,Nationwide ambulance service
Fire Service,Fire Emergency,101,Nationwide fire emergency line
Hospital,Bir Hospital (Kathmandu),+977-1-4221119,"Major government hospital, central KTM"
Hospital,Tribhuvan University Teaching Hospital,+977-1-4412303,Largest teaching hospital in Nepal
Hospital,CIWEC Clinic (Travel Medicine),+977-1-4424111,Specialist travel & tropical medicine
Hospital,B&B Hospital (Lalitpur),+977-1-5546088,Major private hospital south Kathmandu
Hospital,Manipal Teaching Hospital (Pokhara),+977-61-526416,Leading hospital in western Nepal
Hospital,Western Regional Hospital (Pokhara),+977-61-520066,"Government hospital, Pokhara"
Hospital,BP Koirala Hospital (Biratnagar),+977-21-470132,Major hospital in eastern Nepal
Rescue,High Mountain Rescue Association,+977-1-4440292,Mountain rescue coordination
Rescue,Air Ambulance / Helicopter Rescue,+977-1-4488186,CAAN-approved helicopter evacuation
Rescue,Nepal Red Cross Society,+977-1-4270650,Emergency medical aid & blood bank
Tourism Board,Nepal Tourism Board (NTB),+977-1-4256909,Official tourism information & complaints
Trekking,TAAN (Trekking Agencies' Assoc.),+977-1-4424802,Trekking emergencies and rescue info
Embassy,Indian Embassy (Emergency),+977-1-4410900,For Indian nationals
Embassy,British Embassy (Emergency),+977-1-4237100,For UK nationals
Embassy,US Embassy (Emergency),+977-1-4234000,For US nationals
Immigration,Immigration Office (KTM),+977-1-4223681,Visa extensions & permit issues
Cybercrime,Cyber Crime Helpline,1930,Nepal Telecom online fraud helpline
